IP Address,MAC Address,Hostname,Model Info,macOS Version,Model Identifier,Taille,Annee,Disk Free,RAM Info,Open Apps,Battery Status,Battery Details,Current User
172.17.19.171,74:8f:3c:ba:d4:5c,MBP137-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,154Gi,"14G used, 0B free",,"percent: 32, power_plugged: True, time_left: 2:13, drawing_from: AC Power","cycle_count: 626, full_charge_capacity: None, condition: Normal",Basilice_Smartelia
172.17.19.154,a4:cf:99:7f:99:39,MBP304-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,104Gi,"13G used, 1171M free",,"percent: 74, power_plugged: True, time_left: 12:33, drawing_from: Battery Power","cycle_count: 189, full_charge_capacity: None, condition: Normal",Laura_smartelia
172.17.19.169,a4:cf:99:85:14:ed,MBP299-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.3,"Mac14,7",13 pouces,2022,106Gi,"12G used, 0B free",,"percent: 82, power_plugged: True, time_left: 11:30, drawing_from: Battery Power","cycle_count: 197, full_charge_capacity: None, condition: Normal",Josie_Smartelia
172.17.19.164,b0:be:83:55:47:45,MBP207-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,37Gi,"14G used, 952M free",,"percent: 77, power_plugged: True, time_left: 11:48, drawing_from: Battery Power","cycle_count: 306, full_charge_capacity: None, condition: Normal",olivia_smartelia
172.17.19.172,10:9f:41:c6:27:e3,MBP332-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,11Gi,"15G used, 4471M free",,"percent: 41, power_plugged: True, time_left: 4:09, drawing_from: Battery Power","cycle_count: 45, full_charge_capacity: None, condition: Normal",alice_smartelia
172.17.19.137,Unknown,MBP175-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.0,"MacBookPro17,1",13 pouces,2020,30Gi,"15G used, 2380M free",,"percent: 33, power_plugged: True, time_left: 3:50, drawing_from: Battery Power","cycle_count: 617, full_charge_capacity: None, condition: Normal",amandine_smartelia
172.17.19.165,a0:78:17:7f:4f:68,MBP166-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.4.1,"MacBookPro17,1",13 pouces,2020,66Gi,"15G used, 67M free",,"percent: 66, power_plugged: True, time_left: 6:18, drawing_from: Battery Power","cycle_count: 567, full_charge_capacity: None, condition: Normal",Benjamin_Smartelia
172.17.19.136,Unknown,MBP76-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro12,1",12.6.8,"MacBookPro12,1",13 pouces,2015,48Gi,"7975M used, 216M free",,"percent: 42, power_plugged: True, time_left: 2:04, drawing_from: Battery Power","cycle_count: 2095, full_charge_capacity: 5034, condition: Normal",Stagiaire_IT
172.17.19.160,26:25:64:41:c8:78,MBP165-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,12Gi,"15G used, 1181M free",,"percent: 69, power_plugged: True, time_left: 6:08, drawing_from: Battery Power","cycle_count: 499, full_charge_capacity: None, condition: Normal",alida_smartelia
172.17.19.152,2a:49:51:ab:8f:61,MBP320-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",15.5,"Mac15,3",14 pouces,2023,204Gi,"15G used, 6816M free",,"percent: 42, power_plugged: True, time_left: 5:29, drawing_from: Battery Power","cycle_count: 117, full_charge_capacity: None, condition: Normal",rodolphe_smartelia
172.17.19.198,66:90:78:f5:ce:2d,MBP215-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,65Gi,"15G used, 3389M free",,"percent: 69, power_plugged: True, time_left: 1:39, drawing_from: AC Power","cycle_count: 390, full_charge_capacity: None, condition: Normal",liam_smartelia
172.17.19.173,a4:cf:99:77:cd:a8,MBP257-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,59Gi,"15G used, 74M free",,"percent: 100, power_plugged: True, time_left: 4:29, drawing_from: Battery Power","cycle_count: 218, full_charge_capacity: None, condition: Normal",Joachim_smartelia
172.17.19.186,10:9f:41:bf:7e:12,MBP318-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac15,3",14.1,"Mac15,3",14 pouces,2023,291Gi,"15G used, 5142M free",,"percent: 76, power_plugged: True, time_left: 4:23, drawing_from: Battery Power","cycle_count: 182, full_charge_capacity: None, condition: Normal",claudia_pads
172.17.19.161,8e:f5:e5:8b:b8:5c,MBP142-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,99Gi,"15G used, 615M free",,"percent: 67, power_plugged: True, time_left: 6:32, drawing_from: Battery Power","cycle_count: 432, full_charge_capacity: None, condition: Normal",abigaelle_smartelia
172.17.19.175,a0:78:17:83:fe:10,MBP157-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",12.4,"MacBookPro17,1",13 pouces,2020,105Gi,"15G used, 198M free",,"percent: 36, power_plugged: True, time_left: 3:34, drawing_from: Battery Power","cycle_count: 474, full_charge_capacity: None, condition: Normal",simone_samrtelia
172.17.19.162,9c:3e:53:84:2f:a4,MBP228-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",14.1.1,"Mac14,7",13 pouces,2022,76Gi,"15G used, 3532M free",,"percent: 47, power_plugged: True, time_left: 3:22, drawing_from: Battery Power","cycle_count: 254, full_charge_capacity: None, condition: Normal",travis_smartelia
172.17.19.195,a4:cf:99:7b:d9:1c,MBP283-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.2.1,"Mac14,7",13 pouces,2022,114Gi,"15G used, 1703M free",,"percent: 29, power_plugged: True, time_left: 3:15, drawing_from: Battery Power","cycle_count: 194, full_charge_capacity: None, condition: Normal",Ricardo_smartelia
172.17.19.196,Unknown,MBP256-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,139Gi,"15G used, 671M free",,"percent: 37, power_plugged: True, time_left: 5:29, drawing_from: Battery Power","cycle_count: 251, full_charge_capacity: None, condition: Normal",Hans_Smartelia
172.17.19.131,f4:5c:89:b4:40:d9,MBP69-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro12,1",11.6.5,"MacBookPro12,1",13 pouces,2015,160Gi,"7274M used, 917M free",,"percent: 84, power_plugged: True, time_left: 3:58, drawing_from: Battery Power","cycle_count: 2224, full_charge_capacity: 4315, condition: Service Recommended",Stagiaire_eTail
172.17.19.185,Unknown,MBP267-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,144Gi,"7554M used, 3721M free",,"percent: 100, power_plugged: True, time_left: 0:09, drawing_from: AC Power","cycle_count: 281, full_charge_capacity: None, condition: Normal",prisca_smartelia
172.17.19.209,be:2d:29:14:b2:f6,MBP296-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",15.1.1,"Mac14,7",13 pouces,2022,99Gi,"15G used, 1658M free",,"percent: 100, power_plugged: True, time_left: None, drawing_from: Battery Power","cycle_count: 138, full_charge_capacity: None, condition: Normal",marjolaine_smartelia
172.17.19.187,a4:cf:99:6d:98:e5,MBP258-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: Mac14,7",13.0,"Mac14,7",13 pouces,2022,50Gi,"15G used, 8355M free",,"percent: 29, power_plugged: True, time_left: 1:50, drawing_from: AC Power","cycle_count: 302, full_charge_capacity: None, condition: Normal",matthias_smartelia
172.17.19.132,a0:78:17:80:2f:eb,MBP161-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",14.0,"MacBookPro17,1",13 pouces,2020,21Gi,"15G used, 5802M free",,"percent: 86, power_plugged: True, time_left: 8:25, drawing_from: Battery Power","cycle_count: 387, full_charge_capacity: None, condition: Normal",rosalie_smartelia
172.17.19.188,a4:83:e7:21:c4:f3,MBP128-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro15,4",13.1,"MacBookPro15,4",Unknown,Unknown,78Gi,"8172M used, 981M free",,"percent: 66, power_plugged: True, time_left: 3:54, drawing_from: Battery Power","cycle_count: 968, full_charge_capacity: 4150, condition: Normal",OfficeClerk_Smartelia
172.17.19.189,Unknown,MBP176-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro17,1",15.1.1,"MacBookPro17,1",13 pouces,2020,65Gi,"14G used, 3796M free",,"percent: 46, power_plugged: True, time_left: 3:34, drawing_from: Battery Power","cycle_count: 580, full_charge_capacity: None, condition: Normal",eric_smartelia
172.17.19.197,Unknown,MBP115-SMARTELIA.local,"Model Name: MacBook Pro       Model Identifier: MacBookPro15,1",13.5.1,"MacBookPro15,1",Unknown,Unknown,16Gi,"16G used, 1076M free",,"percent: 82, power_plugged: True, time_left: 1:04, drawing_from: AC Power","cycle_count: 1171, full_charge_capacity: 5584, condition: Service Recommended",stagiaire_vyperf
